ticker,regularMarketChange,netExpenseRatio,companyName,twoHundredDayMovingAvg,fundNetAssets,grossExpenseRatio,regularMarketChangePercent,fiftyTwoWeekChangePercent,fiftyTwoWeekLow,regularMarketPrice,exchange,region,fiftyDayMovingAvg,fiftyTwoWeekHigh,performanceRatingOverall,trailing3mReturn,annualReturnNavY1,trailingYtdReturn,annualReturnNavY3,annualReturnNavY5,riskRatingOverall
0P0001FJJY.TO,0.34969902,0.0,CI Can Sm/Mid Cap Eq Fd (Ser P U),14.078475,87625417.0,0.0,2.1603427,23.62281,11.2467,16.5369,TOR,ca,16.149008,16.786,2.0,11.34636,0.56072,23.5749,21.84082,17.33657,4.0
0P0001AC6T.TO,0.18490028,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerIT8Shrs),7.6524405,8656013.0,0.0,2.1589656,17.76297,6.2229,8.7492,TOR,ca,8.594084,8.9312,0.0,11.33245,25.33434,23.2952,-20.44945,18.90171,0.0
0P0001AC54.TO,0.41329956,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerIShrs),16.646177,8656013.0,0.0,2.158752,27.07981,13.3053,19.5586,TOR,ca,19.099926,19.8532,0.0,11.34355,25.32793,23.31122,-20.45381,18.91254,0.0
0P0001FKAZ.TO,0.34239864,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerPShrs),13.808789,8656013.0,0.0,2.158419,26.79206,11.0395,16.2058,TOR,ca,15.829156,16.4535,2.0,11.27916,0.60705,23.06749,21.70913,17.10805,4.0
0P0001AC55.TO,0.4116993,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerOShrs),16.596243,8656013.0,0.0,2.1582055,26.868916,13.2703,19.4877,TOR,ca,19.033737,19.7844,0.0,11.29651,25.17938,23.13293,-20.58585,18.7159,0.0
0P0001AADJ.TO,0.35350037,0.0,CI Can Sm/Mid Cap Eq Fd (Ser EF U),14.298296,87625417.0,0.0,2.1580956,23.66935,11.4471,16.7337,TOR,ca,16.356323,17.0016,,,,,,,
0P0001AC6S.TO,0.24849987,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerOT5Shrs),10.189897,8656013.0,0.0,2.1579974,21.01928,8.2356,11.7638,TOR,ca,11.53178,11.985,0.0,11.26566,25.14951,23.09471,-20.62361,18.70307,0.0
0P0001FKB1.TO,0.16800022,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerPT8Shrs),6.9660797,8656013.0,0.0,2.1579714,17.416656,5.6664,7.9531,TOR,ca,7.814016,8.1206,2.0,11.26278,0.58322,22.99299,21.72527,17.09933,4.0
0P0001AC6U.TO,0.1817007,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerOT8Shrs),7.5279365,8656013.0,0.0,2.157889,17.569876,6.1238,8.602,TOR,ca,8.45049,8.7821,0.0,11.29686,25.11699,23.13195,-20.59761,18.70994,0.0
0P0001FKB0.TO,0.22079945,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerPT5Shrs),9.060088,8656013.0,0.0,2.1576562,20.904171,7.3214,10.4541,TOR,ca,10.247962,10.6508,2.0,11.26417,0.58224,23.00157,21.73849,17.09465,4.0
0P0000SLJW.TO,0.7624016,0.0,CI Can Sm/Mid Cap Eq Fd (Ser F U),30.857893,87625417.0,0.0,2.1576326,23.662651,24.711,36.0975,TOR,ca,35.28753,36.6797,,,,,,,
0P0001AC6R.TO,0.2201004,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerFT5Shrs),9.079213,8656013.0,0.0,2.1551638,19.60243,7.3544,10.4328,TOR,ca,10.237802,10.6404,,,,,,,
0P00011MXA.TO,0.4211998,0.0,CI Can Sm/Mid Cap Eq Fd (Ser E U),17.125717,87625417.0,0.0,2.155103,23.738014,13.7489,19.9655,TOR,ca,19.535942,20.3068,2.0,10.76144,22.52945,21.42711,-22.45563,16.44145,5.0
0P0000SLK6.TO,0.7164993,0.0,CI Can Sm/Mid Cap Eq Fd (Ser A U),29.151285,87625417.0,0.0,2.1546519,23.690903,23.4092,33.9701,TOR,ca,33.242943,34.5548,2.0,10.72907,22.40016,21.24536,-22.53463,16.33777,4.0
0P0001AC53.TO,0.36629868,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerFShrs),14.860543,8656013.0,0.0,2.1545331,25.402355,11.9095,17.3676,TOR,ca,16.981884,17.6518,,,,,,,
0P0001AC6N.TO,0.22179985,0.0,CI Can Sm/Mid Cap Eq CorpCl(SerEFT5Shrs),9.149674,8656013.0,0.0,2.1544843,19.88145,7.4074,10.5166,TOR,ca,10.322134,10.728,,,,,,,
0P0001AC52.TO,0.3708992,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerEFShrs),15.048621,8656013.0,0.0,2.1543992,25.551844,12.057,17.5868,TOR,ca,17.19877,17.8769,,,,,,,
0P0001AC6M.TO,0.16200018,0.0,CI Can Sm/Mid Cap Eq CorpCl(SerEFT8Shrs),6.7562494,8656013.0,0.0,2.1540573,16.356945,5.5061,7.6827,TOR,ca,7.557746,7.8543,,,,,,,
0P0001AC6Q.TO,0.16020012,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerFT8Shrs),6.68558,8656013.0,0.0,2.1538644,16.148949,5.4511,7.598,TOR,ca,7.474526,7.7678,,,,,,,
0P0001AC6P.TO,0.19820023,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerET5Shrs),8.218593,8656013.0,0.0,2.1523616,18.399227,6.675,9.4067,TOR,ca,9.24155,9.605,2.0,10.63073,22.38082,20.80884,-22.35111,16.08081,4.0
0P0001AC51.TO,0.33269978,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerEShrs),13.561434,8656013.0,0.0,2.1523516,24.093866,10.8981,15.7902,TOR,ca,15.455338,16.0652,2.0,10.66762,22.49411,20.76266,-22.21056,16.19402,4.0
0P0001AC50.TO,0.32820034,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerAShrs),13.381459,8656013.0,0.0,2.151724,24.042475,10.7532,15.5811,TOR,ca,15.250702,15.8525,2.0,10.6686,22.30184,20.772,-22.3565,16.10193,4.0
0P0001AC6L.TO,0.19649982,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerAT5Shrs),8.152016,8656013.0,0.0,2.151607,18.224323,6.6226,9.3292,TOR,ca,9.165124,9.5256,2.0,10.64583,22.23381,20.67942,-22.40979,15.98425,4.0
0P0001AC6K.TO,0.14370012,0.0,CI Can Sm/Mid Cap Eq Corp Cl(SerAT8Shrs),6.0251536,8656013.0,0.0,2.1510706,14.885771,4.9262,6.8241,TOR,ca,6.71898,6.9827,2.0,10.67206,22.31449,20.77801,-22.39497,16.06001,4.0
0P000070UQ.TO,1.25,0.0,TD Petites sociétés canadiennes- I,49.4676,950058779.0,0.0,2.1437147,28.611528,38.75,59.56,TOR,ca,57.2982,60.34,4.0,12.87263,24.63816,30.15625,-2.52445,23.04311,3.0
0P000071KX.TO,0.55600166,0.0,TD Petites sociétés canadiennes - C,22.011528,950058779.0,0.0,2.1430342,29.492306,17.2445,26.5006,TOR,ca,25.494757,26.8488,4.0,12.86886,24.63311,30.13618,-2.51399,23.0086,3.0
0P000076IC.TO,0.6400013,0.0,0P000076IC.TO,25.28795,950058779.0,0.0,2.1419053,30.762636,19.72,30.52,TOR,ca,29.32,30.88,,,,,,,
0P0000A2MD.TO,0.2300005,0.0,DFS GIF Canadian Small Cap Equity NEI 5,9.10755,7553000.0,0.0,2.1415317,28.00467,7.43,10.97,TOR,ca,10.4584,10.99,2.0,15.23605,16.48649,24.59397,-15.03106,7.98193,3.0
0P0001SDJE.TO,0.3132,0.0,0P0001SDJE.TO,12.341718,674589238.0,0.0,2.1340673,29.013216,9.9746,14.9894,TOR,ca,14.293206,15.0158,,,,,,,
0P0001SDJF.TO,0.31449986,0.0,Scotia Wealth Quant Cdn Sm Cp Eq Pl KM,12.415255,674589238.0,0.0,2.133779,30.057192,10.0428,15.0536,TOR,ca,14.360056,15.0851,,,,,,,
0P0001SDJG.TO,0.31470013,0.0,0P0001SDJG.TO,12.425002,674589238.0,0.0,2.132837,30.080532,10.0504,15.0697,TOR,ca,14.374746,15.1004,,,,,,,
0P0000NDJ3.TO,0.9151993,0.0,Fidelity Canadian Opportunities Series O,40.966152,6208654383.0,0.0,2.106124,4.3887615,34.8125,44.3694,TOR,ca,43.500015,44.6715,0.0,4.4547,13.18005,9.3369,-0.06933,30.54456,0.0
0P0001THE0.TO,0.27470016,0.0,0P0001THE0.TO,12.384411,2158128707.0,0.0,2.1035476,8.912396,10.5577,13.3336,TOR,ca,13.090994,13.4392,5.0,8.46841,17.49166,10.40023,18.72247,21.08983,3.0
0P0001IO7R.TO,3.119995,0.0,iA Cdn Opp Fid SRP7575PrF,140.58629,2158128707.0,0.0,2.1035423,9.06657,119.8114,151.441,TOR,ca,148.66905,152.6279,5.0,8.46841,17.49166,10.40023,18.72247,21.08983,3.0
0P0001THDY.TO,0.27600002,0.0,0P0001THDY.TO,12.4330845,2158128707.0,0.0,2.1033862,9.16313,10.594,13.3977,TOR,ca,13.15112,13.5016,5.0,8.46841,17.49166,10.40023,18.72247,21.08983,3.0
0P0001IO7N.TO,2.879013,0.0,iA Cdn Opp Fid SRP75100F,130.02551,2158128707.0,0.0,2.1030045,8.481062,110.9392,139.779,TOR,ca,137.28702,140.9264,5.0,8.46841,17.49166,10.40023,18.72247,21.08983,3.0
